,,1,2,3,4,5,6,7,8,70,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,
Grupo secundario,Grupo secundario,CH3,CH2,CH,C,CH2=CH,CH=CH,CH2=C,CH=C,C=C,ACH,AC,ACCH3,ACCH2,ACCH,OH,CH3OH,H2O,ACOH,CH3CO,CH2CO,CHO,CH3COO,CH2COO,HCOO,CH3O,CH2O,CH-O,FCH2O,CH3NH2,CH2NH2,CHNH2,CH3NH,CH2NH,CHNH,CH3N,CH2N,ACNH2,C5H5N,C5H4N,C5H3N,CH3CN,CH2CN,COOH,HCOOH,CH2Cl,CHCl,CCl,CH2Cl2,CHCl2,CCl2,CHCl3,CCl3,CCl4,ACCl,CH3NO2,CH2NO2,CHNO2,ACNO2,CS2,CH3SH,CH2SH,furfural,(CH2OH)2,I,Br,CH=-C,C=-C,CH3SOCH3,CH2=CH-C=-N,Cl-(C=C),ACF,DMF-1,DMF-2,CF3,CF2,CF,COO,SiH3,SiH2,SiH,Si,SiH2O,SiHO,SiO,NMP,CCl3F,CCl2F,HCCl2F,HCClF,CClF2,HCClF2,CClF3,CCl2F2,CONH2,CONHCH3,CONHCH2,CON(CH3)2,CONCH3CH2,CON(CH2)2,C2H5O2,C2H4O2,CH3S,CH2S,CHS,Morpholine,C4H4S,C4H3S,C4H2S,
1,CH3,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,1
2,CH2,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,2
3,CH,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,3
4,C,0,0,0,0,86.02,86.02,86.02,86.02,86.02,61.13,61.13,76.5,76.5,76.5,986.5,697.2,1318,1333,476.4,476.4,677,232.1,232.1,507,251.5,251.5,251.5,251.5,391.5,391.5,391.5,255.7,255.7,255.7,206.6,206.6,920.7,287.8,287.8,287.8,597,597,663.5,663.5,35.93,35.93,35.93,53.76,53.76,53.76,24.9,24.9,104.3,11.44,661.5,661.5,661.5,543,153.6,184.4,184.4,354.6,3025,335.8,479.5,298.9,298.9,526.5,689,-4.189,125.8,485.3,485.3,-2.859,-2.859,-2.859,387.1,-450.4,-450.4,-450.4,-450.4,252.7,252.7,252.7,220.3,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,-5.869,390.9,390.9,390.9,390.9,390.9,390.9,553.3,553.3,187,187,187,216.1,92.99,92.99,92.99,4
5,CH2=CH,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,5
6,CH=CH,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,6
7,CH2=C,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,7
8,CH=C,-35.36,-35.36,-35.36,-35.36,0,0,0,0,0,38.81,38.81,74.15,74.15,74.15,524.1,787.6,270.6,526.1,182.6,182.6,448.8,37.85,37.85,333.5,214.5,214.5,214.5,214.5,240.9,240.9,240.9,163.9,163.9,163.9,61.11,61.11,749.3,280.5,280.5,280.5,336.9,336.9,318.9,318.9,-36.87,-36.87,-36.87,58.55,58.55,58.55,-13.99,-13.99,-109.7,100.1,357.5,357.5,357.5,0,76.3,0,0,262.9,0,0,183.8,31.14,31.14,179,-52.87,-66.46,359.3,-70.45,-70.45,449.4,449.4,449.4,48.33,0,0,0,0,0,0,0,86.46,0,0,0,0,0,0,0,0,200.2,200.2,200.2,200.2,200.2,200.2,268.1,268.1,-617,-617,-617,62.56,0,0,0,8
